Product Name,Product Description,Category,Energy,Saturates,Carbohydrate,Sugars,Salt
Sainsbury's Milk Chocolate 200g,Milk chocolate,chocolate,546,19.9,53.8,50.8,0.16
Cadbury Dairy Milk Buttons Treatsize Chocolate Bags Multipack x6 84g,Milk chocolates,chocolate,535,18,57,56,0.24
Milky Way Chocolate Bar Multipack 12x21.5g,Milk chocolate with a light whipped white centre (61%),chocolate,447,7.8,71.9,65.1,0.52
Lindt Les Grandes Dark Chocolate Hazelnut Bar 150g,Dark chocolate with hazelnuts,chocolate,573,13,42,39,0.02
Milkybar White Chocolate Bar Multipack 4x25g,White Chocolate.,chocolate,543,19.1,53.1,52.6,0.34
Galaxy Smooth Milk Chocolate More to Share Bar 200g,Milk chocolate.,chocolate,545,20,56,55,0.3
Green & Black's Organic Ginger Dark Chocolate Bar 90g,Organic chocolate with crystallised ginger pieces (20 %).,chocolate,2118,18,51,47,0.01
Kit Kat 2 Finger White Chocolate Biscuit Bar Multipack x9,Nine bars of two crispy wafer fingers covered with white chocolate (66%).,chocolate,515,15.1,59,46.3,0.27
Twix Chocolate Biscuit Snack Size Twin Bars Multipack 9x40g,Milk chocolate (35%) covered caramel (32%) and biscuit (26%).,chocolate,493,14,65,49,0.41
Lindt Excellence Dark 85% Cocoa Chocolate Bar 100g,Extra fine dark chocolate,chocolate,2418,27,22,15,0.02
Green & Black's Organic Milk Chocolate Bar 90g,Organic milk chocolate.,chocolate,2339,22,48,46,0.23
Cadbury Darkmilk Original Chocolate Bar 85g,High cocoa milk chocolate.,chocolate,536,20,51,49,0.11
Kinder Chocolate Medium Bars 5x21g,Fine Milk Chocolate with A Milky Filling,chocolate,2360,22.6,53.5,53.3,0.313
Bounty Coconut Milk Chocolate Duo Bars Multipack 8x57g,Moist tender coconut covered in thick milk chocolate.,chocolate,487,21,59,48,0.26
Kinder Bueno Milk Chocolate Bars Multipack 4x43g,Milk Chocolate Covered Wafer with Smooth Milky and Hazelnut Filling,chocolate,2384,17.3,49.5,41.2,0.272
Green & Black?s Velvet Edition 70% Cocoa Dark Chocolate Bar 90g,Chocolate,chocolate,607,30,30,27,0.01
Lindt Excellence Milk Extra Creamy Chocolate Bar 100g,Extra creamy milk chocolate,chocolate,2387,23,51,50,0
Rolo Chocolate 4x41.6g,Milk chocolates with a soft toffee centre (45%).,chocolate,478,11.4,67.4,58,0.32
"Sainsbury's Venezuelan 70% Dark Chocolate, Taste the Difference 100g",Dark chocolate,chocolate,599,27.6,34.5,27.4,0.08
Green & Black?s Velvet Edition Salted Caramel Dark Chocolate Bar 90g,Chocolate with salted caramel pieces (15 %).,chocolate,590,27,37,32,0.5
Sainsbury's Fruit & Nut Dark Chocolate 200g,Dark chocolate with raisins and almonds,chocolate,509,15.7,47.3,42.7,0.01
Cadbury Dairy Milk with Daim Chocolate Bar 120g,Milk chocolate with crunchy almond caramel pieces (20 %).,chocolate,525,17.5,57,56.5,0.43
Sainsbury's White Chocolate 200g,White chocolate,chocolate,572,22.2,54.6,51.8,0.21
"Sainsbury's Dominican Republic 72% Dark Chocolate, Taste the Difference 5x25g",Dark chocolate,chocolate,620,31.5,26.7,20.7,0.01
Cadbury Dairy Milk Caramel Chocolate Bar 120g,Milk chocolate with caramel centre (40 %).,chocolate,483,14,62,48,0.4
Aero Milk Chocolate  4x27g,Smooth bubbly milk chocolate.,chocolate,538,17.9,57.8,56.8,0.23
"Sainsbury's Madagascan 80% Dark Chocolate, Taste the Difference 100g",Dark chocolate,chocolate,592,27.7,30.6,19.9,0.09
Aero Peppermint Mint Chocolate Sharing Bar 90g,Smooth milk chocolate filled with peppermint flavoured bubbles.,chocolate,534,17.7,60.8,60.4,0.22
Galaxy Caramel Chocolate Bar 135g,Milk chocolate with a soft caramel filling (30%).,chocolate,498,16,61,56,0.36
Green & Black's Organic Milk Almond Chocolate Bar 90g,Organic milk chocolate with chopped roasted almonds (20 %).,chocolate,2406,18,40,37,0.18
Cadbury Caramilk Golden Caramel Chocolate Bar 90g,White chocolate with caramelised milk powder (5 %).,chocolate,544,18,63,63,0.29
Cadbury Dairy Milk Buttons Chocolate Treatsize Bags Multipack x12 170g,Milk chocolates.,chocolate,535,18,57,56,0.24
Milkybar White Chocolate Bar 90g,White Chocolate.,chocolate,542,19.1,52.9,52.5,0.35
Milky Way Chocolate Bar Multipack 6 x 21.5g,Milk chocolate with a light whipped white centre (61%).,chocolate,450,7.9,70.7,61.8,0.37
Sainsbury's Mini Assorted Chocolate Bars x25 421g,An assortment of treat-size bars,chocolate,509,11.1,53.1,43.2,0.64
Sainsbury's No Added Sugar Milk Chocolate 100g,No Added Sugar Milk Chocolate with Sweeteners,chocolate,502,23.6,51.2,10.5,0.19
Lindt Excellence Dark Raspberry Chocolate Bar 100g,Fine dark chocolate with raspberry pieces,chocolate,2182,18,51,49,0
Cadbury Dairy Milk with Oreo Chocolate Bar 120g,Milk chocolate with a vanilla flavour filling (38 %) and biscuit pieces (12 %).,chocolate,558,19,54,49,0.37
Sainsbury's Wholenut Dark Chocolate 200g,Dark chocolate with whole hazelnuts,chocolate,575,17.6,36.4,32.5,0.01
Toffee Crisp Milk Chocolate Bar Multipack x9 31g,Nine Bars of Toffee (18%) and Crisped Cereal (11%) Filled Milk Chocolate.,chocolate,522,17.9,62.8,50.5,0.26
Kinder Bueno White Chocolate Bars Multipack 4x39g,White Chocolate Covered Wafer with Smooth Milky and Hazelnut Filling,chocolate,2387,16.8,53,43.6,0.356
Lindt Lindor Milk Chocolate Bars 4x25g,Milk chocolate with a smooth melting filling (40%),chocolate,2556,33,46,45,0.13
Lindt Lindor Milk Chocolate Bar 100g,Swiss milk chocolate with a smooth melting filling,chocolate,2582,36,44,43,0.14
Cadbury Dairy Milk 30% Less Sugar Chocolate Bar 85g,Reduced sugar milk chocolate.,chocolate,503,18,42,37,0.18
Lindt Lindor White Chocolate Bar 100g,White Swiss chocolate with a smooth melting filling,chocolate,2688,39,42,42,0.21
Lindt Les Grandes Milk Chocolate Hazelnut Bar 150g,Swiss milk chocolate with hazelnuts,chocolate,587,13,44,39,0.08
Galaxy Salted Caramel Chocolate Bar 135g,Milk chocolate with a salted caramel filling (30%).,chocolate,497,16,60,56,0.57
Green & Black's Organic Butterscotch Milk Chocolate Bar 90g,Organic milk chocolate with butterscotch pieces (10 %).,chocolate,2313,21,51,48,0.2
Lindt Excellence Dark Chilli Chocolate Bar 100g,Swiss dark chocolate with extract of chilli pepper,chocolate,538,20,50,48,0.1
Aero Milk Chocolate Sharing Bar 90g,Smooth bubbly milk chocolate.,chocolate,532,17.8,57.3,56.8,0.22
Trip CBD Infused Peach Ginger 250ml,"Lightly sparkling, CBD-infused Peach Ginger drink powered by natural botanicals with no added sugar",chocolate,35.1,0,2.1,1.8,0
Bens Original Long Grain Microwave Rice 250g,Steamed parboiled long grain rice.,rice,566,0.1,28,0.5,0.01
Merchant Gourmet Smoky Spanish-Style Grains & Rice 250g,Spanish-Style Grains & Rice,rice,705,0.5,31,1.4,1.2
Merchant Gourmet Simply Cooked Glorious Grains with Red Rice & Quinoa 250g,Glorious grains with red rice & quinoa,rice,768,0.5,32,0.7,0.04
Sainsbury's Basmati Rice 1kg,Basmati White Rice,rice,137,0.1,30.7,0.5,0.01
Sainsbury's Microwave Rice Basmati 250g,Cooked basmati rice,rice,143,0.2,29.5,0.5,0.18
Tilda Pure Basmati Classics Microwave Rice 250g,Pure Steamed Basmati Rice,rice,605,0.5,28.2,0.1,0.03
Sainsbury's Microwave Rice Brown 250g,Cooked parboiled brown long grain rice,rice,171,0.3,32.2,0.5,0.13
Bens Original Golden Vegetable Microwave Rice 250g,"Steamed parboiled long grain rice with pepper, sweetcorn and peas.",rice,639,0.1,29,0.7,0.44
Sainsbury's Microwave Rice Long Grain White 250g,Cooked parboiled white long grain rice,rice,135,0.1,29.5,0.5,0.15
Sainsbury's Microwave Rice Brown Basmati 250g,Cooked parboiled brown basmati,rice,136,0.3,27.6,0.5,0.17
Sainsbury's Easy Cook Long Grain White Rice 1kg,Parboiled Long grain white rice,rice,161,0.4,34,0.5,0.01
Sainsbury's Brown Rice 1kg,Long Grain Brown Rice,rice,150,0.3,32.1,0.5,0.01
Sainsbury's Microwave Rice Golden Vegetable 250g,Cooked parboiled long grain rice with vegetables,rice,157,0.2,30.1,1.4,0.5
Bens Original Spicy Mexican Microwave Rice 250g,"Steamed parboiled long grain rice with beans, corn and peppers.",rice,670,0.2,28,1.1,0.52
Sainsbury's Microwave Rice Spicy Mexican 250g,Cooked parboiled long grain rice with vegetables and spices,rice,182,0.3,34.4,1.6,0.33
Sainsbury's Microwave Rice Thai 250g,Cooked thai jasmine rice,rice,162,0.1,36.3,0.5,0.18
Sainsbury's Basmati Rice 500g,Basmati White Rice,rice,137,0.1,30.7,0.5,0.01
Sainsbury's White Rice 1kg,Long Grain White Rice,rice,135,0.1,30,0.5,0.01
Bens Original Mexican Style Microwave Rice 250g,Steamed parboiled long grain rice with jalapeno peppers and red peppers with Mexican style spices.,rice,652,0.2,30,1,0.45
Tilda Steamed Basmati Brown Microwave Rice 250g,Wholegrain Basmati Rice,rice,545,0.5,23.3,0.2,0.03
Tilda Steamed Basmati Lime & Coriander Microwave Rice 250g,Lime and Coriander Basmati Rice,rice,560,1.9,23.4,0.6,0.3
Bens Original Wholegrain Microwave Rice 250g,Steamed parboiled wholegrain rice.,rice,691,0.4,31,0.5,0.01
Sainsbury's Brown Basmati Rice 1kg,Basmati Brown Rice,rice,137,0.1,30.7,0.5,0.01
Bens Original Egg Fried Microwave Rice 250g,"Steamed parboiled long grain rice with egg, sesame oil and oriental spices.",rice,660,0.4,29,0.7,0.42
Bens Original Savoury Chicken Microwave Rice 250g,Steamed parboiled long grain rice with chicken flavour and vegetables.,rice,644,0.1,29,0.7,0.44
Tilda Brown Basmati & Quinoa Wholegrain Microwave Rice 250g,Wholegrain Basmati & Quinoa Rice,rice,559,0.8,24,0.3,0.28
Tilda Basmati Rice 1kg,Pure Original Basmati,rice,1491,0.2,77.7,0.5,0.03
Sainsbury's Boil In The Bag Basmati Rice 4x125g,Basmati White Rice,rice,137,0.1,30.7,0.5,0.01
Tilda Steamed Basmati Coconut Microwave Rice 250g,Coconut Basmati Rice,rice,683,3.6,25.2,0.4,0.03
Tilda Wholegrain Brown Basmati & Wild Microwave Rice 250g,Wholegrain Basmati and Wild Rice,rice,569,0.6,23.3,0.1,0.03
Tilda Pilau Basmati Microwave Rice 250g,Pilau Basmati Rice,rice,543,0.3,24.8,0.3,0.41
Sainsbury's Boil In The Bag White Rice 4x125g,Parboiled Long grain white rice,rice,161,0.4,34,0.5,0.01
Veetee Heat&eat Sticky Rice Pots x2 260g,Sticky Rice,rice,644,0.2,31.7,0.1,0.14
Tilda Basmati Rice 500g,Pure Original Basmati,rice,1491,0.2,77.7,0.5,0.03
Sainsbury's Microwave Rice Egg Fried 250g,"Cooked parboiled long grain rice blend with scrambled egg, onion, chives and spices",rice,177,0.3,33.5,0.5,0.29
Sainsbury's Basmati & Wild Rice 500g,Parboiled basmati white rice and wild rice,rice,135,0.1,30,0.5,0.01
Tilda Steamed Basmati Lemon Microwave Rice 250g,Lemon & Herbs Basmati Rice,rice,579,0.4,26.1,0.1,0.3
Bens Original Boil In Bag Long Grain Rice 500g,Parboiled long grain rice.,rice,665,0.1,34,0.5,0.01
Veetee Heat& Eat Basmati Rice Pots x2 250g,Basmati,rice,546,0.2,26,0.2,0.01
Sainsbury's Easy Cook Long Grain White Rice 2kg,Parboiled Long grain white rice,rice,161,0.4,34,0.5,0.01
Sainsbury's Thai Fragrant Rice 500g,Long grain white rice,rice,141,0.1,31,0.5,0.01
Bens Original Tomato And Basil Microwave Rice 250g,Steamed parboiled long grain rice with tomatoes and basil.,rice,701,0.2,30,2.1,0.43
Sainsbury's Easy Cook Long Grain White Rice 500g,Parboiled Long grain white rice,rice,161,0.4,34,0.5,0.01
Bens Original Wholegrain Spicy Mexican Microwave Rice 250g,"Steamed parboiled wholegrain rice with beans, corn and peppers.",rice,665,0.4,26,1.1,0.53
Sainsbury's Microwave Rice Mushroom 250g,Cooked parboiled long grain rice with mushroom pieces,rice,167,0.2,33.3,0.5,0.51
Tilda Microwave Steamed Basmati Egg Fried Microwave Rice 250g,Egg Fried Rice,rice,573,0.5,23.6,0.7,0.49
Tilda Tomato and Basil Basmati Microwave Rice 250g,Tomato and Basil Basmati Rice,rice,518,0.3,22.4,1,0.42
Tilda Sweet Chilli and Lime Basmati Microwave Rice 250g,Sweet Chilli and Lime Basmati Rice,rice,542,0.5,24,1.7,0.55
Tilda Steamed Basmati Coconut & Chilli Microwave Rice 250g,Coconut Chilli and Lemongrass Basmati Rice,rice,638,3.3,21.4,0.6,0.3
Veetee Heat& Eat Thai Jasmine Rice Pots 280g,Thai Jasmine,rice,609,0.2,29.1,0.1,0.01
Sainsbury's Basmati Rice 4kg,Basmati White Rice,rice,137,0.1,30.7,0.5,0.01
"Sainsbury's Brown Rice, SO Organic 500g",Organic Long grain brown rice,rice,150,0.3,32.1,0.5,0.01
Sainsbury's Long Grain Rice 1kg,Long Grain White Rice,rice,135,0.1,30,0.5,0.01
Fullgreen Riced Cauliflower 200g,100% plant based,rice,84,0,4,1,0.01
Tilda Mushroom Basmati Microwave Rice 250g,Mushroom Basmati Rice,rice,507,0.3,21.5,0.4,0.43
Laila Basmati Rice 10kg,Basmati Rice,rice,351,0.1,84,0.1,0.1
Bens Original Long Grain Rice 1kg,Parboiled long grain rice.,rice,655,0.1,34,0.5,0.01
Tilda Steamed Basmati Wholegrain Pilau Microwave Rice 250g,Wholegrain Pilau Rice,rice,572,0.5,22.6,0.4,0.28
Bens Original Mixed Pepper Microwave Rice 250g,"Steamed parboiled long grain rice with 3 types of pepper, aromatic herbs and spices.",rice,634,0.1,29,1.7,0.45
Tilda Peri Peri Basmati Microwave Rice 250g,Peri Peri Basmati Rice,rice,549,0.3,23.5,1.2,0.42
Tariq Halal British Beef Sirloin Steak 200g,Matured for 21 Days for improved eating quality,rice,201,5.6,0.1,0.1,0.25
Tariq Halal British Beef Burgers 452g,With Firecraker Seasoning,rice,269,8.9,4,1.2,1.2
Eat Real Quinoa Chips Sour Cream & Chives Flavour 80g,Quinoa-based snack with sour cream & chives flavour.,rice,473,1.9,61,2.3,2.1
Bens Original Wholegrain Mediterranean Vegetable Microwave Rice 250g,Steamed parboiled wholegrain rice with mediterranean vegetables.,rice,711,0.9,26,2,0.45
Sainsbury's Sticky Coconut Rice 250g,Cooked thai jasmine rice with coconut milk and fine desiccated coconut,rice,208,2.4,36.7,0.5,0.22
Tilda Brown Basmati Rice 1kg,Wholegrain Brown Basmati Rice,rice,1487,0.6,71.2,1.1,0.03
Veetee Heat & Eat Pilau Rice Pots x2 250g,Pilau,rice,583,0.3,26.2,0.5,0.5
Sainsbury's Brown Rice 500g,Long Grain Brown Rice,rice,150,0.3,32.1,0.5,0.01
Tilda Hot Firecracker Basmati Microwave Rice 250g,Hot Firecracker Basmati Rice,rice,523,0.5,21.9,0.4,0.42
Sainsbury's Boil In The Bag Brown Rice 4x125g,Brown Long Grain Rice,rice,150,0.3,32.1,0.5,0.01
Sainsbury's Thai Sticky Rice 500g,Thai sticky white rice,rice,141,0.1,31,0.5,0.01
Sainsbury's Wholegrain Rice & Quinoa 250g,Cooked parboiled brown rice and red quinoa with onions and garlic,rice,163,0.3,31.6,0.5,0.14
Bens Original Long Grain and Wild Microwave Rice 250g,Steamed parboiled long grain and wild rice blend.,rice,634,0.1,31,0.5,0.01
Bens Original Chinese Style Microwave Rice 250g,"Steamed parboiled long grain rice with sesame oil, garlic and ginger.",rice,680,0.2,30,0.8,0.44
Tilda Basmati Rice 5kg,Pure Original Basmati Rice,rice,1491,0.2,77.7,0.5,0.03
Bens Original Smokey BBQ Microwave Rice 250g,Steamed parboiled long grain rice with a smokey BBQ flavour.,rice,746,0.2,33,1.9,0.51
"Tilda Steamed Microwave Rice, Limited Edition 250g","Aromatic, mild curry spices combine with carrot, onion and coconut cream to give a tasty katsu curry flavour and modern Asian twist to our Jasmine rice.",rice,798,0.9,36.7,1.5,0.67
Bens Original Caribbean Microwave Rice 250g,"Steamed parboiled long grain rice with adzuki beans, peppers and spices.",rice,662,0.2,28,1.5,0.44
Sainsbury's Wholegrain & Wild Rice 250g,Cooked parboiled brown rice and wild rice,rice,157,0.2,30.8,0.5,0.14
Tilda Steamed Basmati Mexican Bean & Chilli Microwave Rice 250g,Moreish pinto beans and zesty lime combine with smoked paprika and chipotle chillies to add a spicy kick and tasty Mexican flavours to our Long Grain rice.,rice,509,0.4,19.5,0.6,0.46
Salaam Basmati Rice 10kg,Basmati Rice,rice,351,0.1,84,0.1,0.1
Veetee Heat& Eat Long Grain Rice Pots x2 260g,Long Grain,rice,591,0.2,27.9,0.2,0.01
Laila Basmati Rice 5kg,Basmati Rice,rice,351,0.1,84,0.1,0.1
Sainsbury's Boil In Bag Thai Fragrant Rice 4x125g,Thai jasmine rice,rice,352,0.3,77.3,0.5,0.01
"Sainsbury's Aged Indian Basmati Rice, Taste the Difference 1kg",Basmati White rice,rice,137,0.1,30.7,0.5,0.01
Bens Original Wholegrain Golden Vegetable Microwave Rice 250g,"Steamed parboiled wholegrain rice with pepper, sweetcorn and peas.",rice,634,0.4,27,0.7,0.45
Tilda Basmati Rice 2kg,Pure Original Basmati,rice,1491,0.2,77.7,0.5,0.03
Sainsbury's Chicken Flavour Savoury Rice 105g,"Chicken flavour long grain rice with a mix of dried sweetcorn, carrot, peas and red pepper.",rice,120,0.3,24.9,1.8,0.39
Tilda Classics White & Wholegrain Basmati Blend Microwave Rice 250g,White & Wholegrain Basmati Rice Blend,rice,627,0.5,27.6,0.1,0.03
Naked Big Eat Japanese Style Katsu Curry Long Grain Rice 104g,Instant Rice in a Chicken Katsu Style Curry Sauce,rice,485,0.1,25,1.3,0.62
Bens Original Rice Onion Bhaji Microwave Rice 250g,Steamed parboiled long grain rice with onion and spices.,rice,675,0.2,31,1.3,0.43
Bens Original Wholegrain Savoury Chicken Microwave Rice 250g,Steamed parboiled wholegrain rice with chicken flavour and vegetables.,rice,639,0.4,27,0.6,0.44
"Sainsbury's Savoury Rice, Curry 105g","Long grain rice with a mix of dried peas, tomato and onion, flavoured with a mild blend of spices",rice,148,0.4,30.5,2.8,0.25
Sainsbury's Beef Flavour Savoury Rice 105g,"Beef flavour long grain rice with a mix of dried peas, carrot, onion and red pepper.",rice,124,0.3,25.5,1.4,0.33
Trophy Indian Basmati Rice 10kg,Basmati Rice,rice,1510,0.3,76.9,0.2,0
Bens Original Rice Spicy Chilli Microwave Rice 250g,Steamed parboiled long grain rice with spicy chilli.,rice,707,0.1,33,1.4,0.45
Kohinoor Extra Long Basmati Rice 2kg,Gold Basmati,rice,356,0.3,77,0.2,0
Laila Brown Basmati Rice 2kg,Brown Basmati Rice,rice,355,0.6,78,0.8,0.1
Fullgreen Riced Sweet Potato 200g,100% plant based,rice,209,0,9.5,4,0.03
Tilda Premium USA Long Grain Microwave Rice 250g,Long Grain Rice,rice,557,0.3,25,0.2,0.03
Sainsbury's Thai Black Rice 500g,Thai black rice,rice,142,0.2,29,0.5,0.01
Trophy Indian Basmati Rice 5kg,Basmati Rice,rice,1510,0.3,76.9,0.2,0
Kohinoor Extra Long Basmati Rice 10kg,Basmati Rice,rice,1513,0.3,77,0.2,0
Sainsbury's Long Grain Rice 2kg,Long Grain White Rice,rice,135,0.1,30,0.5,0.01
Tilda Brown Basmati Rice 500g,Brown Basmati Wholegrain Brown Basmati Rice,rice,1487,0.6,71.2,1.1,0.03
Akash Gold Aged Basmati Rice 10kg,Basmati Rice,rice,1489,0.2,78.6,0.5,0.03
Tilda Caribbean Basmati & Peas Microwave Rice 250g,Microwave Caribbean Basmati Rice and Peas,rice,543,2.3,19,1,0.33
Tilda Basmati Rice 10kg,Pure Original Basmati,rice,1491,0.2,77.7,0.5,0.03
Tilda Easy Cook Long Grain Rice 5kg,Easy Cook Long Grain Rice,rice,1494,0.2,77,0.6,0.03
Apna Long Grain Basmati Rice 5kg,A blend of long grain rice and basmati rice,rice,1497,0.3,77.3,0.5,0.03
Akash Basmati Rice 2kg,Basmati Rice,rice,1489,0.2,78.6,0.5,0.03
Plot9 Smoky Chipotle Bean Chilli with Long Grain Rice 260g,"Kidney beans, onions, sweetcorn, red peppers and textured soy protein in a smoky, spicy tomato and chilli sauce, served with long grain rice.",rice,105,0.1,18.4,2.6,0.3
Bare Naked Rice 250g,Precooked rice shaped konjac pieces in water.,rice,50,0.1,1,0.1,0.01
Trophy Basmati Rice 2kg,Basmati Rice,rice,357,0.3,76.9,0.2,0
Merchant Gourmet Mexican Inspired Grains 250g,Mexican-Style Grains,rice,691,0.5,30,3.5,1.3
Tilda Pure Basmati Perfect Portions Boil in Bag 250g,Pure Basmati Rice,rice,1491,0.2,77.7,0.5,0.03
Sainsbury's Arborio Risotto Rice 500g,Italian Risotto Rice,rice,133,0.1,29.5,0.5,0.01
"Sainsbury's Microwave Pilau Rice With Spices, Cumin and Fennel Seeds P250g","Cooked parboiled long grain rice with spices, cumin and fennel seeds",rice,161,0.1,33.6,0.6,0.43
Sainsbury's Spanish Paella Rice 500g,Spanish Paella Rice,rice,133,0.1,29.2,0.5,0.01
Sainsbury's Steamed Golden Rice 380g,"Golden rice with peas, sweetcorn, red pepper and seasoning in microwaveable steam bags",rice,111,0.2,21,3.6,0.52
"Sainsbury's Rice, Broccoli, Sweetcorn & Peas Microwaveable Steam Bags x4 540g","A mix of white rice, broccoli, sweetcorn and peas in microwaveable steam bags",rice,104,0.2,17.9,3.6,0.03
Actimel Strawberry Yogurt Drinks 12x100g,"Yogurt drink with L. casei Danone cultures, vitamins B6 and D, and strawberry.",yogurts,323,1,12,12,0.1
M¨¹ller Corner Vanilla Chocolate Balls & Banana Chocolate Flakes Yogurts 6x124g,"Vanilla flavour yogurt with milk & white chocolate coated puffed rice balls (8%) on the side
Banana yogurt with milk chocolate coated cornflakes (8%) on the side",yogurts,580,3.1,18.1,16,0.17
M¨¹ller Corner Strawberry & Peach & Apricot Yogurts 6x136g,"Creamy yogurt with strawberry compote on the side x 3
Creamy yogurt with peach & apricot compote on the side x 3",yogurts,440,2.5,12.4,11.9,0.17
Activia Rhubarb Yogurts 4x115g,Yogurt with Fruit,yogurts,381,1.9,12,12,0.14
Activia Strawberry Yogurts 4x115g,Yogurt with Fruit,yogurts,371,2,11.8,11.8,0.14
"Frubes Strawberry, Red Berries and Peach Yogurt 9x37g",Yogurt with added calcium and vitamin D,yogurts,384,1.8,12,10.8,0.15
Yeo Valley Organic Yogurt Greek Style With Honey 4x100g,4 Greek Style Yogurts with Honey,yogurts,591,4.8,13.7,13.7,0.13
Activia No Added Sugar 0% Fat Mixed Red Fruits Yogurt 8x115g,Fat Free Yogurt with Fruit and Sweeteners,yogurts,209,0,7,6.7,0.17
Activia Cherry Fat Free Yogurts 4x115g,Fat free yogurt with fruit and sweeteners,yogurts,211,0,7.4,6.9,0.19
Sainsbury's Mixed Red Fruit Yogurt 6x125g,Low fat strawberry yogurt,yogurts,83,0.8,13.7,12.6,0.09
FAGE Total 0% Natural Fat Free Greek Recipe Strained Yogurt 450g,Natural Fat Free,yogurts,230,0,3,3,0.1
Activia Peach Fat Free Yogurts 4x115g,Fat free yogurt with fruit and sweeteners,yogurts,204,0,7,6.7,0.16
M¨¹ller Corner Vanilla Yogurt With Chocolate Balls 124g,Vanilla flavour yogurt with milk & white chocolate coated puffed rice balls (8%),yogurts,580,3.1,18.1,16,0.17
Mary Ann's Dairy Low Fat Natural Yogurt 500g,Low fat natural yogurt,yogurts,60,1.1,6.4,6.4,0.14
Sainsbury's Fat Free Natural Yogurt 500g,Fat free natural yogurt,yogurts,48,0.2,6.4,6.4,0.18
Actimel Multifruit Yogurt Drinks 12x100g,"Yogurt drink with L Casei Danone cultures, vitamins B6 and D and multifruit.",yogurts,334,1,13,13,0.1
Activia Grains & Nuts Walnut & Oats Yogurt 4x120g,Yogurt with Oats and Walnut,yogurts,444,1.8,13.7,12.6,0.13
Yeo Valley Kefir Natural Organic Yogurt 350g,Fermented Natural Yogurt with Live Kefir Cultures,yogurts,268,1.4,5.4,5.4,0.12
Activia Prune Fusions Yogurt 4x120g,Yogurt with fruit layer,yogurts,414,2.4,13,12,0.12
M¨¹ller Light Greek Style Luscious Lemon Yogurt 4x115g,Lemon Greek style fat free yogurt with sweetener x4,yogurts,255,0.1,7.5,6.8,0.2
Yakult Yogurt Drink 7x65ml,Fermented skimmed milk drink with L. casei Shirota bacteria.,yogurts,182,0,10,8.8,0.03
M¨¹ller Light Red Fruits Fat Free Yogurts 6x140g,"Smooth raspberry & cranberry fat free yogurt with sweetener x 2
Strawberry fat free yogurt with sweetener x 2
Cherry fat free yogurt with sweetener x 2",yogurts,218,0.1,7.1,6.4,0.23
Yeo Valley Organic Greek Style Natural Yogurt 4x120g,Greek Style Natural Yogurt,yogurts,511,6.1,4.7,4.7,0.11
Yeo Valley Organic Little Yeos Fruity Favourites Yogurt 4x90g,Organic Yogurt Blended with a Smooth Fruit Pur¨¦e,yogurts,390,2.9,9.2,8.1,0.1
M¨¹ller Corner Red Cherry Yogurt 136g,Creamy yogurt with red cherry compote,yogurts,464,2.5,13.8,13.1,0.17
M¨¹ller Corner Strawberry Yogurt 136g,Creamy yogurt with strawberry compote,yogurts,440,2.5,12.4,11.9,0.17
"Onken Mango, Papaya & Passionfruit Biopot Yogurt 450g","Mango, Papaya, Passion Fruit Yogurt",yogurts,404,1.7,13,13,0.19
Activia Vanilla Fat Free Yogurts 4x115g,Fat free yogurt with natural flavourings and sweeteners,yogurts,218,0,6.9,6.5,0.17
Yeo Valley Organic Yogurt Fruity Favourites 4x120g,"Strawberry Yogurt
Raspberry Yogurt
Peach & Apricot Yogurt
Blackcurrant Yogurt",yogurts,434,2.5,11.1,11.1,0.15
"Sainsbury's West Country Lemon Curd Yogurt, Taste the Difference 150g",Lemon curd yogurt,yogurts,166,5.4,19.1,19.1,0.1
"Sainsbury's West Country Black Cherry Yogurt, Taste the Difference 150g",Black cherry yogurt,yogurts,124,3.9,13.7,13.3,0.08
Activia Mixed Yellow Fruits Yogurt 8x115g,Yogurt with Fruit,yogurts,373,1.9,12,12,0.14
"Wildlife Strawberry, Raspberry & Apricot Yogurt Choobs 6x37g",Strawberry Flavour or Raspberry Flavour or Apricot Flavour yogurt,yogurts,385,1.8,12.1,10.9,0.15
Sainsbury's Fat Free Greek Style Natural Yogurt 1kg,Fat free Greek style natural yogurt,yogurts,54,0.3,5.2,5.2,0.18
Muller Corner Banana Yogurt With Chocolate Flakes 124g,Banana yogurt with milk chocolate coated cornflakes (8%),yogurts,572,3,18,15.2,0.22
Ski Smooth Strawberry & Raspberry Yogurt 4x120g,Low fat yogurt with fruit puree,yogurts,351,1.8,11.6,11.3,0.1
Benecol Original No Added Sugar Yogurt Drink 6x67.5g,Yogurt drink with added plant stanols and sweetener.,yogurts,198,0.2,4.3,4.1,0.09
Rachel's Luscious Multipack Yogurt 4x110g,Organic Fruits Bio Live Yogurt,yogurts,459,3.3,12.1,11.9,0.1
Frubes Strawberry Flavour Yogurt Tubes 9x37g,Yogurt with added calcium and vitamin D,yogurts,385,1.8,12,10.8,0.15
"Sainsbury's West Country Madagascan Vanilla Yogurt, Taste the Difference 150g",Vanilla yogurt,yogurts,132,5,11.9,11.6,0.1
M¨¹ller Corner Peach & Apricot Yogurt 136g,Creamy yogurt with peach & apricot compote,yogurts,466,2.5,13.9,13.4,0.17
Muller Corner Vanilla Yogurt With Chocolate Digestive Biscuits 124g,Vanilla flavour yogurt with milk chocolate coated digestive biscuit balls (12%),yogurts,632,4,19.4,15.6,0.23
